"Time (ms)","Recording (a.u.)"
6.250236751E0,-1.467931084E-2
6.271070874E0,-1.457641274E-2
6.291904996E0,-1.398322731E-2
6.312739119E0,-1.418971177E-2
6.333573241E0,-1.418210007E-2
6.354407364E0,-1.553587895E-2
6.375241486E0,-1.945235953E-2
6.396075609E0,-2.329534478E-2
6.416909731E0,-2.765271254E-2
6.437743854E0,-3.326149285E-2
6.458577976E0,-3.735418245E-2
6.479412099E0,-4.195021838E-2
6.500246221E0,-4.856121168E-2
6.521080344E0,-5.671545491E-2
6.541914466E0,-6.547787786E-2
6.562748589E0,-7.395694405E-2
6.583582711E0,-8.165149391E-2
6.604416834E0,-8.678824455E-2
6.625250956E0,-9.032511711E-2
6.646085079E0,-9.208995104E-2
6.666919201E0,-9.380865097E-2
6.687753324E0,-9.725504369E-2
6.708587446E0,-1.010480076E-1
6.729421569E0,-1.071147621E-1
6.750255692E0,-1.141611785E-1
6.771089814E0,-1.210619733E-1
6.791923937E0,-1.274141073E-1
6.812758059E0,-1.309222430E-1
6.833592182E0,-1.322151423E-1
6.854426304E0,-1.318656653E-1
6.875260427E0,-1.317724735E-1
6.896094549E0,-1.311801225E-1
6.916928672E0,-1.291491091E-1
6.937762794E0,-1.261320710E-1
6.958596917E0,-1.191029474E-1
6.979431039E0,-1.088747531E-1
7.000265162E0,-9.641242027E-2
7.021099284E0,-8.187101781E-2
7.041933407E0,-6.716379523E-2
7.062767529E0,-5.132693797E-2
7.083601652E0,-3.403832391E-2
7.104435774E0,-1.626643166E-2
7.125269897E0,2.134882845E-3
7.146104019E0,2.219125815E-2
7.166938142E0,4.333874583E-2
7.187772264E0,6.488830596E-2
7.208606387E0,8.671784401E-2
7.229440509E0,1.063922644E-1
7.250274632E0,1.236136258E-1
7.271108754E0,1.388901621E-1
7.291942877E0,1.515385658E-1
7.312776999E0,1.626573205E-1
7.333611122E0,1.730026901E-1
7.354445244E0,1.819405556E-1
7.375279367E0,1.894538701E-1
7.396113489E0,1.959511340E-1
7.416947612E0,2.001870573E-1
7.437781734E0,2.022631466E-1
7.458615857E0,2.019514441E-1
7.479449979E0,1.975511611E-1
7.500284102E0,1.906446517E-1
7.521118224E0,1.822661161E-1
7.541952347E0,1.725232601E-1
7.562786469E0,1.619022787E-1
7.583620592E0,1.500898004E-1
7.604454714E0,1.367568225E-1
7.625288837E0,1.215811074E-1
7.646122959E0,1.052077338E-1
7.666957082E0,8.758708835E-2
7.687791204E0,6.939837337E-2
7.708625327E0,5.156690627E-2
7.729459449E0,3.402515128E-2
7.750293572E0,1.737145334E-2
7.771127694E0,1.336312387E-3
7.791961817E0,-1.377172768E-2
7.812795939E0,-2.854879387E-2
7.833630062E0,-4.357469827E-2
7.854464184E0,-5.727114528E-2
7.875298307E0,-6.863323599E-2
7.896132429E0,-7.712651789E-2
7.916966552E0,-8.250844479E-2
7.937800674E0,-8.492442966E-2
7.958634797E0,-8.555508405E-2
7.979468919E0,-8.516386151E-2
8.000303042E0,-8.401254565E-2
8.021137164E0,-8.254684508E-2
8.041971287E0,-8.007861674E-2
8.062805409E0,-7.658915222E-2
8.083639532E0,-7.231097668E-2
8.104473654E0,-6.706012040E-2
8.125307777E0,-6.122380123E-2
8.146141899E0,-5.561538413E-2
8.166976022E0,-5.086421221E-2
8.187810144E0,-4.712938517E-2
8.208644267E0,-4.420861229E-2
8.229478389E0,-4.127849266E-2
8.250312512E0,-3.834674135E-2
8.271146634E0,-3.529443592E-2
8.291980757E0,-3.222509846E-2
8.312814879E0,-3.037753329E-2
8.333649002E0,-2.993963845E-2
8.354483124E0,-3.053456917E-2
8.375317247E0,-3.166971728E-2
8.396151369E0,-3.281749785E-2
8.416985492E0,-3.352433443E-2
8.437819614E0,-3.357439488E-2
8.458653737E0,-3.327808529E-2
8.479487859E0,-3.242529929E-2
8.500321982E0,-3.100104444E-2
8.521156104E0,-2.975054830E-2
8.541990227E0,-2.892110497E-2
8.562824349E0,-2.791364677E-2
8.583658472E0,-2.675990760E-2
8.604492594E0,-2.565152012E-2
8.625326717E0,-2.361670136E-2
8.646160839E0,-2.046542615E-2
8.666994962E0,-1.680953801E-2
8.687829084E0,-1.238621771E-2
8.708663207E0,-7.511630189E-3
8.729497329E0,-2.957246965E-3
8.750331452E0,1.951682265E-3
8.771165574E0,7.109569386E-3
8.791999697E0,1.200755686E-2
8.812833819E0,1.726421714E-2
8.833667942E0,2.235938236E-2
8.854502064E0,2.685584687E-2
8.875336187E0,3.061767481E-2
8.896170309E0,3.365858644E-2
8.917004432E0,3.673989326E-2
8.937838554E0,3.937676176E-2
8.958672677E0,4.117306322E-2
8.979506799E0,4.165911674E-2
9.000340922E0,4.032723606E-2
9.021175045E0,3.835982084E-2
9.042009167E0,3.596159443E-2
9.062843290E0,3.248959407E-2
9.083677412E0,2.776671574E-2
9.104511535E0,2.082458138E-2
9.125345657E0,1.061213575E-2
9.146179780E0,-1.625565346E-3
9.167013902E0,-1.426251512E-2
9.187848025E0,-2.700854652E-2
9.208682147E0,-3.807798401E-2
